编号,精灵名,蛋种(产蛋形态),蛋组,最小蛋重(kg),最大蛋重(kg),最小蛋高(m),最大蛋高(m),主属性,副属性,属性,进化阶段,精灵形态,地区形态名称,精灵最小身高(m),精灵最大身高(m),精灵最小体重(kg),精灵最大体重(kg),BWiki页面标题,BWiki修订时间,BWiki抓取状态
NO.075,瞌睡王,白发懒人,巨灵组、拟人组,6.825,9.4,0.31,0.43,普通,武,普通、武,最终形态,原始形态,,1.61,2.31,124.5,136.5,瞌睡王,2026-06-07T14:06:38Z,ok
NO.076,海盔虫（本来的样子）,海盔虫（本来的样子）,巨灵组、海洋组,7.4,8.6,0.55,0.7,水,毒,水、毒,Ⅰ阶,原始形态,本来的样子,0.55,0.7,7.4,8.6,海盔虫（本来的样子）,2026-06-07T16:32:53Z,ok
NO.076,海盔虫（磨损的样子）,海盔虫（本来的样子）,巨灵组、海洋组,7.4,8.6,0.55,0.7,水,毒,水、毒,Ⅰ阶,地区形态,磨损的样子,0.55,0.7,7.4,8.6,海盔虫（磨损的样子）,2026-06-07T14:00:57Z,ok
NO.077,刺盔虫（本来的样子）,海盔虫（本来的样子）,巨灵组、海洋组,7.4,8.6,0.55,0.7,水,毒,水、毒,Ⅱ阶,原始形态,本来的样子,0.83,1.19,22.5,29.8,刺盔虫（本来的样子）,2026-06-07T16:32:43Z,ok
NO.077,刺盔虫（磨损的样子）,海盔虫（本来的样子）,巨灵组、海洋组,7.4,8.6,0.55,0.7,水,毒,水、毒,Ⅱ阶,地区形态,磨损的样子,0.83,1.19,22.5,29.8,刺盔虫（磨损的样子）,2026-06-07T13:19:20Z,ok
NO.078,千棘盔（本来的样子）,海盔虫（本来的样子）,巨灵组、海洋组,7.4,8.6,0.55,0.7,水,毒,水、毒,最终形态,原始形态,本来的样子,1.11,1.33,98.6,115,千棘盔（本来的样子）,2026-06-07T16:32:16Z,ok
NO.078,千棘盔（磨损的样子）,海盔虫（本来的样子）,巨灵组、海洋组,7.4,8.6,0.55,0.7,水,毒,水、毒,最终形态,地区形态,磨损的样子,1.11,1.33,98.6,115,千棘盔（磨损的样子）,2026-06-07T13:20:45Z,ok
NO.079,菊花梨,菊花梨,植物组,1.47,2.32,0.27,0.37,萌,,萌,最终形态,原始形态,,0.63,0.9,4.2,5.8,菊花梨,2026-06-07T14:11:51Z,ok
NO.080,小星光（星光能量的样子）,小星光（星光能量的样子）,动物组,9.625,14.48,0.33,0.46,电,,电,Ⅰ阶,原始形态,星光能量的样子,0.78,1.12,27.5,36.2,小星光（星光能量的样子）,2026-06-07T13:34:45Z,ok
NO.080,小星光（月光能量的样子）,小星光（月光能量的样子）,动物组,9.625,14.48,0.33,0.46,电,光,电、光,Ⅰ阶,地区形态,月光能量的样子,0.78,1.12,27.5,36.2,小星光（月光能量的样子）,2026-06-07T13:34:46Z,ok
NO.081,星光狮（星光能量的样子）,小星光（星光能量的样子）,动物组,9.625,14.48,0.33,0.46,电,,电,最终形态,原始形态,星光能量的样子,1.08,1.54,49.5,58.1,星光狮（星光能量的样子）,2026-06-07T13:40:36Z,ok
NO.081,星光狮（月光能量的样子）,小星光（月光能量的样子）,动物组,9.625,14.48,0.33,0.46,电,光,电、光,最终形态,地区形态,月光能量的样子,1.08,1.54,49.5,58.1,星光狮（月光能量的样子）,2026-06-07T13:40:41Z,ok
NO.082,一窝蜂,一窝蜂,天空组、昆虫组,1.4,2.2,0.16,0.22,虫,翼,虫、翼,Ⅰ阶,原始形态,,0.37,0.52,4,5.5,一窝蜂,2026-06-07T13:14:56Z,ok
NO.083,黄蜂后,一窝蜂,天空组、昆虫组,1.4,2.2,0.16,0.22,虫,翼,虫、翼,Ⅱ阶,原始形态,,0.81,1.16,31.7,39.21,黄蜂后,2026-06-07T14:37:07Z,ok
NO.084,花魁蜂后,一窝蜂,天空组、昆虫组,1.4,2.2,0.16,0.22,虫,翼,虫、翼,最终形态,原始形态,,0.83,1.19,61.5,78.4,花魁蜂后,2026-06-07T14:10:39Z,ok
NO.085,小夜,小夜,妖精组、拟人组,1.575,3.04,0.22,0.3,恶,,恶,Ⅰ阶,原始形态,,0.51,0.73,4.5,7.6,小夜,2026-06-07T13:34:34Z,ok
NO.086,紫夜,小夜,妖精组、拟人组,1.575,3.04,0.22,0.3,恶,,恶,Ⅱ阶,原始形态,,0.72,1.03,17.6,22.5,紫夜,2026-06-07T14:08:47Z,ok
NO.087,朔夜伊芙,小夜,妖精组、拟人组,1.575,3.04,0.22,0.3,恶,,恶,最终形态,原始形态,,1.06,1.51,46.2,57.5,朔夜伊芙,2026-06-07T03:44:52Z,ok
NO.088,乖乖鹄,乖乖鹄,两栖组、天空组,1.47,2.2,0.2,0.28,翼,水,翼、水,Ⅰ阶,原始形态,,0.46,0.67,4.2,5.5,乖乖鹄,2026-06-07T13:16:00Z,ok
NO.089,蓝珠天鹅,乖乖鹄,两栖组、天空组,1.47,2.2,0.2,0.28,翼,水,翼、水,Ⅱ阶,原始形态,,0.88,1.03,14.08,18.1,蓝珠天鹅,2026-06-07T14:12:13Z,ok
NO.090,翠顶夫人,乖乖鹄,两栖组、天空组,1.47,2.2,0.2,0.28,翼,水,翼、水,最终形态,原始形态,,1.2,1.34,19.05,25.04,翠顶夫人,2026-06-07T14:09:59Z,ok
NO.091,黑羽夫人,乖乖鹄,两栖组、天空组,1.47,2.2,0.2,0.28,翼,恶,翼、恶,最终形态,原始形态,,1.25,1.4,20.5,28.06,黑羽夫人,2026-06-07T14:37:28Z,ok
NO.092,锤头鹳,锤头鹳,两栖组、天空组,17.955,26.32,0.46,0.65,翼,水,翼、水,最终形态,原始形态,,1.09,1.56,51.3,65.8,锤头鹳,2026-06-07T14:32:30Z,ok
NO.093,绿草精灵,绿草精灵,妖精组、拟人组,3.255,4.12,0.3,0.42,草,幻,草、幻,Ⅰ阶,原始形态,,0.71,1.01,9.3,10.3,绿草精灵,2026-06-07T14:09:50Z,ok
NO.094,魔草巫灵,绿草精灵,妖精组、拟人组,3.255,4.12,0.3,0.42,草,幻,草、幻,最终形态,原始形态,,0.74,1.05,29,34,魔草巫灵,2026-06-07T14:36:16Z,ok
NO.095,记忆石,记忆石,大地组,31.57,44.8,0.41,0.58,地,,地,最终形态,原始形态,,0.97,1.39,90.2,112,记忆石,2026-06-07T14:14:17Z,ok
NO.096,咔咔羽毛,咔咔羽毛,天空组,0.917,1.56,0.26,0.37,翼,普通,翼、普通,Ⅰ阶,原始形态,,0.62,0.89,2.62,3.9,咔咔羽毛,2026-06-07T13:25:17Z,ok
NO.097,咔咔雀,咔咔羽毛,天空组,0.917,1.56,0.26,0.37,翼,普通,翼、普通,Ⅱ阶,原始形态,,0.66,0.95,13.8,18.5,咔咔雀,2026-06-07T13:25:39Z,ok
NO.098,咔咔鸟,咔咔羽毛,天空组,0.917,1.56,0.26,0.37,翼,普通,翼、普通,最终形态,原始形态,,0.7,1,27.5,33.72,咔咔鸟,2026-06-07T13:25:40Z,ok
NO.099,小草虫,小草虫,拟人组、昆虫组,0.735,1.36,0.2,0.28,虫,草,虫、草,Ⅰ阶,原始形态,,0.47,0.67,2.1,3.4,小草虫,2026-06-07T13:36:00Z,ok
NO.100,草衣虫,小草虫,拟人组、昆虫组,0.735,1.36,0.2,0.28,虫,草,虫、草,Ⅱ阶,原始形态,,0.6,0.87,7.2,8.6,草衣虫,2026-06-07T14:11:42Z,ok
NO.101,花衣蝶,小草虫,拟人组、昆虫组,0.735,1.36,0.2,0.28,虫,草,虫、草,最终形态,原始形态,,0.92,1.32,19.6,23.4,花衣蝶,2026-06-07T14:10:27Z,ok
NO.102,绿翼鸟,绿翼鸟,天空组、妖精组,1.26,1.92,0.21,0.25,萌,翼,萌、翼,Ⅰ阶,原始形态,,0.49,0.61,3.6,4.8,绿翼鸟,2026-06-07T14:09:39Z,ok
NO.103,魔翼鸟,绿翼鸟,天空组、妖精组,1.26,1.92,0.21,0.25,萌,翼,萌、翼,Ⅱ阶,原始形态,,0.78,1.12,8.85,13.8,魔翼鸟,2026-06-07T14:35:55Z,ok
NO.104,魔眷鸟,绿翼鸟,天空组、妖精组,1.26,1.92,0.21,0.25,萌,翼,萌、翼,最终形态,原始形态,,0.91,1.31,19.8,24.5,魔眷鸟,2026-06-07T14:35:54Z,ok
NO.105,阿米亚特,阿米亚特,大地组、巨灵组,13.475,19.68,0.24,0.33,地,,地,Ⅰ阶,原始形态,,0.57,0.79,38.5,49.2,阿米亚特,2026-06-07T14:33:01Z,ok
NO.106,阿米樱,阿米亚特,大地组、巨灵组,13.475,19.68,0.24,0.33,地,,地,Ⅱ阶,原始形态,,0.78,1.12,94.2,143,阿米樱,2026-06-07T14:33:03Z,ok
NO.107,罗隐,阿米亚特,大地组、巨灵组,13.475,19.68,0.24,0.33,地,恶,地、恶,最终形态,原始形态,,1.48,2.12,290,305,罗隐,2026-06-07T14:09:56Z,ok
NO.108,风铃鲨,风铃鲨,天空组、海洋组,4.575,6.72,0.17,0.24,水,翼,水、翼,Ⅰ阶,原始形态,,0.41,0.59,13.07,16.8,风铃鲨,2026-06-07T14:35:19Z,ok
NO.109,蓝蝶鲨,风铃鲨,天空组、海洋组,4.575,6.72,0.17,0.24,水,翼,水、翼,Ⅱ阶,原始形态,,0.81,1.16,34.82,48.6,蓝蝶鲨,2026-06-07T14:12:16Z,ok
NO.110,彩蝶鲨,风铃鲨,天空组、海洋组,4.575,6.72,0.17,0.24,水,翼,水、翼,最终形态,原始形态,,1.18,1.68,80.5,96.5,彩蝶鲨,2026-06-07T10:40:22Z,ok
NO.111,石石,石石,大地组、魔力组,21.35,30,0.15,0.21,地,,地,Ⅰ阶,原始形态,,0.35,0.5,61,75,石石,2026-06-07T14:07:03Z,ok
NO.112,巨灵石,石石,大地组、魔力组,21.35,30,0.15,0.21,地,幽,地、幽,最终形态,原始形态,,1.95,2.3,205,240,巨灵石,2026-06-07T13:37:39Z,ok
NO.113,仪使者,仪使者,大地组、妖精组,6.668,14.02,0.19,0.24,地,幻,地、幻,Ⅰ阶,原始形态,,0.45,0.58,19.05,35.05,仪使者,2026-06-07T13:16:49Z,ok
NO.114,仪式之星,仪使者,大地组、妖精组,6.668,14.02,0.19,0.24,地,幻,地、幻,Ⅱ阶,原始形态,,0.84,1.21,72,87.5,仪式之星,2026-06-07T13:16:51Z,ok
NO.115,仪式巨像,仪使者,大地组、妖精组,6.668,14.02,0.19,0.24,地,幻,地、幻,最终形态,原始形态,,1.44,1.79,198.05,253.07,仪式巨像,2026-06-07T13:16:53Z,ok
NO.116,小独角兽,小独角兽,动物组、巨灵组,14.525,22.24,0.42,0.59,光,,光,Ⅰ阶,原始形态,,0.98,1.41,41.5,55.6,小独角兽,2026-06-07T13:35:05Z,ok
NO.117,白金独角兽,小独角兽,动物组、巨灵组,14.525,22.24,0.42,0.59,光,,光,最终形态,原始形态,,1.35,1.93,94.5,105,白金独角兽,2026-06-07T14:06:27Z,ok
NO.118,旋叶虫（金黄的样子）,旋叶虫（金黄的样子）,昆虫组、植物组,0.053,0.1,0.04,0.06,普通,虫,普通、虫,Ⅰ阶,原始形态,金黄的样子,0.1,0.15,0.1,0.85,旋叶虫（金黄的样子）,2026-06-07T13:40:33Z,ok
NO.118,旋叶虫（枯叶的样子）,旋叶虫（枯叶的样子）,昆虫组、植物组,0.053,0.1,0.04,0.06,普通,虫,普通、虫,Ⅰ阶,地区形态,枯叶的样子,0.1,0.15,0.1,0.85,旋叶虫（枯叶的样子）,2026-06-07T13:40:28Z,ok
NO.119,蓬叶虫（金黄的样子）,旋叶虫（金黄的样子）,昆虫组、植物组,0.053,0.1,0.04,0.06,普通,虫,普通、虫,Ⅱ阶,原始形态,金黄的样子,0.53,0.76,0.65,1.68,蓬叶虫（金黄的样子）,2026-06-07T14:13:13Z,ok
NO.119,蓬叶虫（枯叶的样子）,旋叶虫（枯叶的样子）,昆虫组、植物组,0.053,0.1,0.04,0.06,普通,虫,普通、虫,Ⅱ阶,地区形态,枯叶的样子,0.53,0.76,0.65,1.68,蓬叶虫（枯叶的样子）,2026-06-07T14:13:04Z,ok
NO.120,风滚暮虫（金黄的样子）,旋叶虫（金黄的样子）,昆虫组、植物组,0.053,0.1,0.04,0.06,普通,虫,普通、虫,最终形态,原始形态,金黄的样子,0.6,0.7,1.45,3.43,风滚暮虫（金黄的样子）,2026-06-07T14:35:16Z,ok
NO.120,风滚暮虫（枯叶的样子）,旋叶虫（枯叶的样子）,昆虫组、植物组,0.053,0.1,0.04,0.06,普通,虫,普通、虫,最终形态,地区形态,枯叶的样子,0.6,0.7,1.45,3.43,风滚暮虫（枯叶的样子）,2026-06-07T14:35:16Z,ok
NO.121,小黑猫,小黑猫,动物组、妖精组,1.085,1.8,0.23,0.27,普通,,普通,Ⅰ阶,原始形态,,0.55,0.65,3.1,4.5,小黑猫,2026-06-07T13:36:48Z,ok
NO.122,黑猫巫师,小黑猫,动物组、妖精组,1.085,1.8,0.23,0.27,普通,,普通,最终形态,原始形态,,0.85,0.97,8.1,9.5,黑猫巫师,2026-06-05T03:24:27Z,ok
NO.123,忽幽狸,忽幽狸,动物组、拟人组,2.905,3.92,0.32,0.45,幽,毒,幽、毒,Ⅰ阶,原始形态,,0.76,1.09,8.3,9.8,忽幽狸,2026-06-07T13:39:45Z,ok
NO.124,影狸,忽幽狸,动物组、拟人组,2.905,3.92,0.32,0.45,幽,毒,幽、毒,最终形态,原始形态,,1.11,1.59,23.5,37.5,影狸,2026-06-07T13:39:44Z,ok
NO.125,多多,多多,拟人组,5.11,7.44,0.19,0.27,毒,地,毒、地,Ⅰ阶,原始形态,,0.45,0.65,14.6,18.6,多多,2026-06-03T13:42:30Z,ok
NO.126,多啦多,多多,拟人组,5.11,7.44,0.19,0.27,毒,地,毒、地,Ⅱ阶,原始形态,,0.58,0.83,28.5,34.6,多啦多,2026-06-07T13:30:19Z,ok
NO.127,古啦多,多多,拟人组,5.11,7.44,0.19,0.27,毒,地,毒、地,最终形态,原始形态,,0.69,0.99,43.5,58.6,古啦多,2026-06-07T13:23:20Z,ok
NO.128,哭哭菇,哭哭菇,植物组,0.63,1.28,0.14,0.2,幻,,幻,Ⅰ阶,原始形态,,0.33,0.47,1.8,3.2,哭哭菇,2026-06-07T13:25:51Z,ok
NO.129,怖须菇,哭哭菇,植物组,0.63,1.28,0.14,0.2,幻,,幻,Ⅱ阶,原始形态,,0.69,0.99,8.72,15.6,怖须菇,2026-06-07T13:39:56Z,ok
NO.130,怖哭菇,哭哭菇,植物组,0.63,1.28,0.14,0.2,幻,,幻,最终形态,原始形态,,1.23,1.76,22.5,28.6,怖哭菇,2026-06-07T13:39:55Z,ok
NO.131,恶魔狼,恶魔狼,动物组,25.9,36.8,0.52,0.73,恶,,恶,最终形态,原始形态,,1.23,1.76,74,92,恶魔狼,2026-06-07T13:39:56Z,ok
NO.132,小电企鹅,小电企鹅,天空组,1.337,2.156,0.19,0.23,冰,电,冰、电,Ⅰ阶,原始形态,,0.44,0.56,3.82,5.39,小电企鹅,2026-06-07T13:35:33Z,ok
NO.133,电企鹅,小电企鹅,天空组,1.337,2.156,0.19,0.23,冰,电,冰、电,最终形态,原始形态,,0.9,1.14,14.6,26.9,电企鹅,2026-06-07T14:05:45Z,ok
NO.134,雪豆丁,雪豆丁,巨灵组、拟人组,3.325,5,0.37,0.51,冰,,冰,Ⅰ阶,原始形态,,0.86,1.23,9.5,12.5,雪豆丁,2026-06-07T14:34:22Z,ok
NO.135,雪蛮人,雪豆丁,巨灵组、拟人组,3.325,5,0.37,0.51,冰,,冰,Ⅱ阶,原始形态,,1.11,1.59,59,76,雪蛮人,2026-06-07T14:34:12Z,ok
NO.136,雪巨人,雪豆丁,巨灵组、拟人组,3.325,5,0.37,0.51,冰,,冰,最终形态,原始形态,,1.61,2.31,156,187,雪巨人,2026-06-07T14:33:28Z,ok
NO.137,呼呼猪,呼呼猪,动物组,2.38,3.56,0.22,0.31,冰,地,冰、地,Ⅰ阶,原始形态,,0.52,0.75,6.8,8.9,呼呼猪,2026-06-07T13:24:35Z,ok
NO.138,獠牙猪,呼呼猪,动物组,2.38,3.56,0.22,0.31,冰,地,冰、地,最终形态,原始形态,,0.77,1.1,52.8,67.4,獠牙猪,2026-06-07T14:05:23Z,ok
NO.139,雪娃娃,雪娃娃,妖精组,2.38,3.264,0.12,0.17,冰,,冰,Ⅰ阶,原始形态,,0.29,0.42,6.8,8.16,雪娃娃,2026-06-07T14:33:26Z,ok
NO.140,冰封怨灵,雪娃娃,妖精组,2.38,3.264,0.12,0.17,冰,,冰,Ⅱ阶,原始形态,,0.96,1.37,24.5,31.6,冰封怨灵,2026-06-07T13:18:35Z,ok
NO.141,雪灵,雪娃娃,妖精组,2.38,3.264,0.12,0.17,冰,,冰,最终形态,原始形态,,1.09,1.56,56.4,68.4,雪灵,2026-06-07T14:33:40Z,ok
NO.142,大耳帽兜,大耳帽兜,妖精组、拟人组,2.937,4.28,0.17,0.2,冰,萌,冰、萌,Ⅰ阶,原始形态,,0.39,0.42,8.39,10.7,大耳帽兜,2026-06-07T13:31:12Z,ok
NO.143,帽兜娃娃,大耳帽兜,妖精组、拟人组,2.937,4.28,0.17,0.2,冰,萌,冰、萌,Ⅱ阶,原始形态,,0.4,0.57,19.05,26.8,帽兜娃娃,2026-06-07T13:38:47Z,ok
NO.144,雪影娃娃,大耳帽兜,妖精组、拟人组,2.937,4.28,0.17,0.2,冰,萌,冰、萌,最终形态,原始形态,,0.64,0.92,31.8,36.6,雪影娃娃,2026-06-07T14:33:32Z,ok
NO.145,权杖-Ⅱ,权杖-Ⅱ,机械组,9.975,14.28,0.19,0.23,机械,,机械,Ⅰ阶,原始形态,,0.45,0.55,28.5,35.7,权杖-Ⅱ,2026-06-07T13:56:01Z,ok
NO.146,权杖-Ⅴ,权杖-Ⅱ,机械组,9.975,14.28,0.19,0.23,机械,,机械,最终形态,原始形态,,0.95,1.05,98,108,权杖-Ⅴ,2026-06-07T16:22:51Z,ok
NO.147,灵狐,灵狐,动物组,2.59,3.56,0.24,0.33,火,冰,火、冰,Ⅰ阶,原始形态,,0.56,0.8,7.4,8.9,灵狐,2026-06-07T14:02:44Z,ok
NO.148,九尾狐,灵狐,动物组,2.59,3.56,0.24,0.33,火,冰,火、冰,Ⅱ阶,原始形态,,0.77,1.11,13.08,21.05,九尾狐,2026-06-07T13:16:18Z,ok
NO.149,尖嘴狐仙,灵狐,动物组,2.59,3.56,0.24,0.33,火,冰,火、冰,最终形态,原始形态,,1.34,1.92,69.5,78.5,尖嘴狐仙,2026-06-07T13:37:11Z,ok
NO.153,松仔,松仔,动物组,2.188,3.14,0.22,0.28,草,武,草、武,Ⅰ阶,原始形态,,0.52,0.68,6.25,7.85,松仔,2026-06-07T13:56:02Z,ok
NO.154,松叶羊,松仔,动物组,2.188,3.14,0.22,0.28,草,武,草、武,Ⅱ阶,原始形态,,1.08,1.33,19.09,28.06,松叶羊,2026-06-07T13:56:13Z,ok
NO.155,针叶巡林,松仔,动物组,2.188,3.14,0.22,0.28,草,武,草、武,最终形态,原始形态,,1.86,2.14,56.8,69.02,针叶巡林,2026-06-07T14:31:29Z,ok
NO.156,小勇狮,小勇狮,动物组,2.975,4.82,0.28,0.34,火,武,火、武,Ⅰ阶,原始形态,,0.67,0.81,8.5,12.05,小勇狮,2026-06-07T13:34:26Z,ok
NO.157,炽焰狮,小勇狮,动物组,2.975,4.82,0.28,0.34,火,武,火、武,Ⅱ阶,原始形态,,1.12,1.45,46.02,67.05,炽焰狮,2026-06-07T14:03:14Z,ok
NO.158,炽心勇狮,小勇狮,动物组,2.975,4.82,0.28,0.34,火,武,火、武,最终形态,原始形态,,1.78,1.97,94.7,118.05,炽心勇狮,2026-06-07T14:02:52Z,ok
NO.159,水滴蛇,水滴蛇,两栖组、妖精组,0.788,1.64,0.23,0.29,水,武,水、武,Ⅰ阶,原始形态,,0.53,0.69,2.25,4.1,水滴蛇,2026-06-07T13:59:56Z,ok
NO.160,水蛇锁,水滴蛇,两栖组、妖精组,0.788,1.64,0.23,0.29,水,武,水、武,Ⅱ阶,原始形态,,0.94,1.2,18.07,27.05,水蛇锁,2026-06-07T14:00:07Z,ok
NO.161,游蛇魔使,水滴蛇,两栖组、妖精组,0.788,1.64,0.23,0.29,水,武,水、武,最终形态,原始形态,,2.15,3,71.05,86.05,游蛇魔使,2026-06-07T14:01:43Z,ok
NO.162,公平鸽,公平鸽,天空组,0.875,1.576,0.19,0.25,普通,,普通,最终形态,原始形态,,0.45,0.6,2.5,3.94,公平鸽,2026-06-05T09:48:55Z,ok
NO.163,小怂猫,小怂猫,动物组、拟人组,6.86,9,0.25,0.35,武,,武,Ⅰ阶,原始形态,,0.59,0.84,19.6,22.5,小怂猫,2026-06-07T13:34:36Z,ok
NO.164,怒目怂猫,小怂猫,动物组、拟人组,6.86,9,0.25,0.35,武,,武,最终形态,原始形态,,1.3,1.65,64.5,78.5,怒目怂猫,2026-06-07T13:39:52Z,ok
NO.165,小狮鹫（崖间地的样子）,小狮鹫（崖间地的样子）,动物组、天空组,4.025,7,0.3,0.42,翼,,翼,Ⅰ阶,原始形态,崖间地的样子,0.71,1.02,11.5,17.5,小狮鹫（崖间地的样子）,2026-06-07T13:35:12Z,ok
NO.165,小狮鹫（高山地的样子）,小狮鹫（高山地的样子）,动物组、天空组,4.025,7,0.3,0.42,翼,,翼,Ⅰ阶,地区形态,高山地的样子,0.71,1.02,11.5,17.5,小狮鹫（高山地的样子）,2026-06-07T13:35:19Z,ok
NO.166,神圣狮鹫（崖间地的样子）,小狮鹫（崖间地的样子）,动物组、天空组,4.025,7,0.3,0.42,翼,,翼,Ⅱ阶,原始形态,崖间地的样子,1.01,1.44,49.5,56.8,神圣狮鹫（崖间地的样子）,2026-06-07T14:07:23Z,ok
NO.166,神圣狮鹫（高山地的样子）,小狮鹫（高山地的样子）,动物组、天空组,4.025,7,0.3,0.42,翼,,翼,Ⅱ阶,地区形态,高山地的样子,1.01,1.44,49.5,56.8,神圣狮鹫（高山地的样子）,2026-06-07T14:07:25Z,ok
NO.167,皇家狮鹫（崖间地的样子）,小狮鹫（崖间地的样子）,动物组、天空组,4.025,7,0.3,0.42,翼,,翼,最终形态,原始形态,崖间地的样子,1.72,2.45,125,170.5,皇家狮鹫（崖间地的样子）,2026-06-07T14:06:35Z,ok
NO.167,皇家狮鹫（高山地的样子）,小狮鹫（高山地的样子）,动物组、天空组,4.025,7,0.3,0.42,翼,,翼,最终形态,地区形态,高山地的样子,1.72,2.45,125,170.5,皇家狮鹫（高山地的样子）,2026-06-07T14:06:36Z,ok
NO.168,圆眼蜘蛛,圆眼蜘蛛,昆虫组,1.225,2,0.2,0.28,虫,,虫,Ⅰ阶,原始形态,,0.48,0.68,3.5,5,圆眼蜘蛛,2026-06-07T13:27:05Z,ok
NO.169,尖角蜘蛛,圆眼蜘蛛,昆虫组,1.225,2,0.2,0.28,虫,毒,虫、毒,Ⅱ阶,原始形态,,0.68,0.98,7.75,9.6,尖角蜘蛛,2026-06-07T13:37:11Z,ok
NO.170,芋香巨角蛛,圆眼蜘蛛,昆虫组,1.225,2,0.2,0.28,虫,毒,虫、毒,最终形态,原始形态,,0.9,1.29,31.75,43.6,芋香巨角蛛,2026-06-07T14:10:23Z,ok
NO.171,波波螺,波波螺,两栖组、大地组,1.698,2.26,0.14,0.17,地,水,地、水,Ⅰ阶,原始形态,,0.32,0.42,4.85,5.65,波波螺,2026-06-07T14:00:19Z,ok
NO.171,波波螺（被污染的样子）,波波螺（被污染的样子）,两栖组、大地组,1.698,2.26,0.14,0.17,地,水,地、水,Ⅰ阶,地区形态,被污染的样子,0.32,0.42,4.85,5.65,波波螺（被污染的样子）,2026-06-07T14:00:23Z,ok
NO.172,消波螺,波波螺,两栖组、大地组,1.698,2.26,0.14,0.17,地,水,地、水,Ⅱ阶,原始形态,,0.68,0.82,46.5,69.9,消波螺,2026-06-07T14:01:03Z,ok
NO.172,消波螺（被污染的样子）,波波螺（被污染的样子）,两栖组、大地组,1.698,2.26,0.14,0.17,地,水,地、水,Ⅱ阶,地区形态,被污染的样子,0.68,0.82,46.5,69.9,消波螺（被污染的样子）,2026-06-07T14:01:07Z,ok
NO.173,嗜波螺,波波螺,两栖组、大地组,1.698,2.26,0.14,0.17,地,水,地、水,最终形态,原始形态,,1.2,1.6,86.8,113,嗜波螺,2026-06-07T13:26:09Z,ok
NO.173,嗜波螺（被污染的样子）,波波螺（被污染的样子）,两栖组、大地组,1.698,2.26,0.14,0.17,地,水,地、水,最终形态,地区形态,被污染的样子,1.2,1.6,86.8,113,嗜波螺（被污染的样子）,2026-06-07T13:26:16Z,ok
NO.174,菇菇丁,菇菇丁,植物组,0.385,0.5,0.11,0.15,地,草,地、草,Ⅰ阶,原始形态,,0.25,0.35,1.1,2.76,菇菇丁,2026-06-07T14:11:49Z,ok
NO.175,多菇丁,菇菇丁,植物组,0.385,0.5,0.11,0.15,地,草,地、草,Ⅱ阶,原始形态,,0.6,0.7,5.4,6.8,多菇丁,2026-06-07T13:30:45Z,ok
NO.176,九幽菇,菇菇丁,植物组,0.385,0.5,0.11,0.15,地,草,地、草,最终形态,原始形态,,1.55,1.65,42,58,九幽菇,2026-06-07T13:16:32Z,ok
NO.177,斑斑,斑斑,天空组,1.677,2.468,0.2,0.25,翼,,翼,Ⅰ阶,原始形态,,0.47,0.6,4.79,6.17,斑斑,2026-06-07T13:40:21Z,ok
NO.178,斑枭,斑斑,天空组,1.677,2.468,0.2,0.25,翼,,翼,最终形态,原始形态,,0.68,0.81,15.9,23.8,斑枭,2026-06-07T13:40:24Z,ok
NO.179,草头鸭,草头鸭,两栖组、天空组,1.715,2.628,0.21,0.3,草,,草,Ⅰ阶,原始形态,,0.5,0.72,4.9,6.57,草头鸭,2026-06-07T14:11:26Z,ok
NO.180,卷毛鸭,草头鸭,两栖组、天空组,1.715,2.628,0.21,0.3,草,武,草、武,最终形态,原始形态,,0.9,1.29,35.8,48.06,卷毛鸭,2026-06-07T13:22:57Z,ok
NO.181,海豹战士,海豹战士,两栖组、动物组,24.325,35.04,0.27,0.38,武,水,武、水,Ⅰ阶,原始形态,,0.64,0.92,69.5,87.6,海豹战士,2026-06-07T14:00:57Z,ok
NO.182,海豹船长,海豹战士,两栖组、动物组,24.325,35.04,0.27,0.38,武,水,武、水,最终形态,原始形态,,1.26,1.8,145,165,海豹船长,2026-06-07T14:00:59Z,ok
NO.183,号儿鱼,号儿鱼,妖精组、海洋组,1.365,2.1,0.13,0.17,水,,水,Ⅰ阶,原始形态,,0.31,0.42,3.9,5.25,号儿鱼,2026-06-07T13:24:15Z,ok
NO.184,圆号鱼,号儿鱼,妖精组、海洋组,1.365,2.1,0.13,0.17,水,,水,最终形态,原始形态,,0.79,0.98,10.9,15.8,圆号鱼,2026-06-07T13:26:55Z,ok
NO.185,甜田螺,甜田螺,妖精组、软体组,2.625,3.76,0.17,0.24,水,萌,水、萌,Ⅰ阶,原始形态,,0.41,0.58,7.5,9.4,甜田螺,2026-06-07T14:05:41Z,ok
NO.186,壳乙螺,甜田螺,妖精组、软体组,2.625,3.76,0.17,0.24,水,萌,水、萌,Ⅱ阶,原始形态,,0.68,0.97,11.05,19.04,壳乙螺,2026-06-07T13:30:09Z,ok
NO.187,卡洛儿,甜田螺,妖精组、软体组,2.625,3.76,0.17,0.24,水,萌,水、萌,最终形态,原始形态,,0.7,1,21.4,25.6,卡洛儿,2026-06-07T13:22:33Z,ok
NO.188,棋棋（白子）,棋棋（白子）,妖精组,3.745,5.8,0.15,0.2,武,地,武、地,Ⅰ阶,原始形态,白子,0.35,0.47,10.7,14.5,棋棋（白子）,2026-06-07T13:58:46Z,ok
